=== Training Start ===
Epoch 0 avg loss: 0.385618 | max weight change: 0.038388 | max bias change: 0.070068
Epoch 1 avg loss: 0.360403 | max weight change: 0.038485 | max bias change: 0.071290
Epoch 2 avg loss: 0.347199 | max weight change: 0.039946 | max bias change: 0.074050
Epoch 3 avg loss: 0.341588 | max weight change: 0.040012 | max bias change: 0.073817
Epoch 4 avg loss: 0.336464 | max weight change: 0.040103 | max bias change: 0.074042
Epoch 5 avg loss: 0.334500 | max weight change: 0.040291 | max bias change: 0.073630
Epoch 6 avg loss: 0.332306 | max weight change: 0.040046 | max bias change: 0.072996
Epoch 7 avg loss: 0.331326 | max weight change: 0.039769 | max bias change: 0.072324
Epoch 8 avg loss: 0.331260 | max weight change: 0.038361 | max bias change: 0.071142
Epoch 9 avg loss: 0.330798 | max weight change: 0.038282 | max bias change: 0.070619
Epoch 10 avg loss: 0.330478 | max weight change: 0.039391 | max bias change: 0.071196
Epoch 11 avg loss: 0.329080 | max weight change: 0.037430 | max bias change: 0.071039
Epoch 12 avg loss: 0.330018 | max weight change: 0.039261 | max bias change: 0.070730
Epoch 13 avg loss: 0.329886 | max weight change: 0.039079 | max bias change: 0.070300
Epoch 14 avg loss: 0.329765 | max weight change: 0.037712 | max bias change: 0.069470
Epoch 15 avg loss: 0.329452 | max weight change: 0.038993 | max bias change: 0.069931
Epoch 16 avg loss: 0.329376 | max weight change: 0.038873 | max bias change: 0.069618
Epoch 17 avg loss: 0.329505 | max weight change: 0.037556 | max bias change: 0.070421
Epoch 18 avg loss: 0.329228 | max weight change: 0.037886 | max bias change: 0.070024
Epoch 19 avg loss: 0.329339 | max weight change: 0.037863 | max bias change: 0.069687
Epoch 20 avg loss: 0.329290 | max weight change: 0.039172 | max bias change: 0.069752
Epoch 21 avg loss: 0.329226 | max weight change: 0.038526 | max bias change: 0.068406
Epoch 22 avg loss: 0.328955 | max weight change: 0.038532 | max bias change: 0.068357
Epoch 23 avg loss: 0.328918 | max weight change: 0.037834 | max bias change: 0.069730
Epoch 24 avg loss: 0.328361 | max weight change: 0.039302 | max bias change: 0.069934
Epoch 25 avg loss: 0.327935 | max weight change: 0.037759 | max bias change: 0.070609
Epoch 26 avg loss: 0.328242 | max weight change: 0.039436 | max bias change: 0.069902
Epoch 27 avg loss: 0.328694 | max weight change: 0.039361 | max bias change: 0.069442
Epoch 28 avg loss: 0.327792 | max weight change: 0.040002 | max bias change: 0.070228
Epoch 29 avg loss: 0.327809 | max weight change: 0.037676 | max bias change: 0.069556
Epoch 30 avg loss: 0.328751 | max weight change: 0.039667 | max bias change: 0.069673
Epoch 31 avg loss: 0.328660 | max weight change: 0.039605 | max bias change: 0.069449
Epoch 32 avg loss: 0.328410 | max weight change: 0.039566 | max bias change: 0.069263
Epoch 33 avg loss: 0.328572 | max weight change: 0.039001 | max bias change: 0.068055
Epoch 34 avg loss: 0.328331 | max weight change: 0.039085 | max bias change: 0.068091
Epoch 35 avg loss: 0.328475 | max weight change: 0.039166 | max bias change: 0.068125
Epoch 36 avg loss: 0.327724 | max weight change: 0.039799 | max bias change: 0.070113
Epoch 37 avg loss: 0.327274 | max weight change: 0.040605 | max bias change: 0.070220
